IdList,name,Superkingdom
528,Ochrobactrum,Bacteria
59814,Pantoea dispersa,Bacteria
5507,Fusarium oxysporum,Eukaryota
570156,Pseudoalteromonas lipolytica,Bacteria
107327,Pseudoalteromonas ulvae,Bacteria
36015,Pichia kluyveri,Eukaryota
1310,Streptococcus sobrinus,Bacteria
13689,Sphingomonas paucimobilis,Bacteria
7955,Danio rerio,Eukaryota
482,Neisseria,Bacteria
74035,Arthroderma uncinatum,Eukaryota
119676,Nannizzia nana,Eukaryota
1592208,Paraphyton cookei,Eukaryota
1275,Kocuria rosea,Bacteria
4930,Saccharomyces,Eukaryota
34387,Trichophyton tonsurans,Eukaryota
40296,Penicillium italicum,Eukaryota
13706,Syncephalastrum racemosum,Eukaryota
29438,Pseudomonas savastanoi,Bacteria
382,Sinorhizobium meliloti,Bacteria
1398,Heyndrickxia coagulans,Bacteria
63405,Microsporum canis,Eukaryota
39412,Phialophora verrucosa,Eukaryota
4769,Saprolegnia,Eukaryota
5037,Histoplasma capsulatum,Eukaryota
668,Aliivibrio fischeri,Bacteria
5067,Aspergillus parasiticus,Eukaryota
36043,Lipomyces lipofer,Eukaryota
5547,Trichoderma viride,Eukaryota
746128,Neosartorya fumigata,Eukaryota
5476,Candida albicans,Eukaryota
42374,Candida dubliniensis,Eukaryota
456999,Rhizoctonia solani,Eukaryota
5467,Colletotrichum truncatum,Eukaryota
65070,Pythium aphanidermatum,Eukaryota
446639,Trichophyton longifusum,Eukaryota
105351,Aspergillus awamori,Eukaryota
5098,Monascus purpureus,Eukaryota
44271,Leishmania chagasi,Eukaryota
5553,Trichosporon beigelii,Eukaryota
34388,Trichophyton violaceum,Eukaryota
86057,Fonsecaea compacta,Eukaryota
5065,Aspergillus sp.,Eukaryota
82519,Apiotrichum loubieri,Eukaryota
82522,Cutaneotrichosporon mucoides,Eukaryota
45594,Starmerella stellata,Eukaryota
29833,Hanseniaspora uvarum,Eukaryota
5533,Rhodotorula,Eukaryota
4943,Saccharomycopsis,Eukaryota
29907,Sporothrix,Eukaryota
545651,Sporothrix globosa,Eukaryota
402873,Sporothrix albicans,Eukaryota
5077,Penicillium citrinum,Eukaryota
5502,Curvularia,Eukaryota
55194,Malassezia furfur,Eukaryota
4841,Mucor racemosus,Eukaryota
